year,hires,termination,netchange,netchangepercent
2000,211,26,185,87.68
2001,1082,197,885,81.79
2002,1012,162,850,83.99
2003,1088,198,890,81.80
2004,1087,201,886,81.51
2005,1038,189,849,81.79
2006,1069,183,886,82.88
2007,1058,153,905,85.54
2008,1061,145,916,86.33
2009,1094,154,940,85.92
2010,1050,137,913,86.95
2011,1057,119,938,88.74
2012,1059,116,943,89.05
2013,1042,97,945,90.69
2014,1014,91,923,91.03
2015,1011,89,922,91.20
2016,1076,72,1004,93.31
2017,1043,62,981,94.06
2018,1090,55,1035,94.95
2019,1038,54,984,94.80
2020,967,38,929,96.07
